date,GDP,CPI,UNRATE
2020-01-01,21727.657,2.800205,3.6
2020-02-01,21727.657,2.792299,3.5
2020-03-01,21727.657,2.592275,4.4
2020-04-01,19935.444,2.160688,14.8
2020-05-01,19935.444,2.000025,13.2
2020-06-01,19935.444,1.998261,11.0
2020-07-01,21684.551,2.287039,10.2
2020-08-01,21684.551,2.22202,8.4
2020-09-01,21684.551,1.991587,7.8
2020-10-01,22068.767,1.74961,6.9
2020-11-01,22068.767,1.707378,6.7
2020-12-01,22068.767,1.603908,6.7
2021-01-01,22656.793,1.391588,6.4
2021-02-01,22656.793,1.403014,6.2
2021-03-01,22656.793,1.592602,6.1
2021-04-01,23368.861,2.212664,6.1
2021-05-01,23368.861,2.569395,5.8
2021-06-01,23368.861,2.564809,5.9
2021-07-01,23921.991,2.330438,5.4
2021-08-01,23921.991,2.335721,5.1
2021-09-01,23921.991,2.607496,4.7
2021-10-01,24777.038,3.009235,4.5
2021-11-01,24777.038,3.189375,4.2
2021-12-01,24777.038,3.458986,3.9
2022-01-01,25215.491,3.966999,4.0
2022-02-01,25215.491,4.2841,3.8
2022-03-01,25215.491,4.538679,3.7
2022-04-01,25805.791,4.70841,3.7
2022-05-01,25805.791,4.956489,3.6
2022-06-01,25805.791,5.40253,3.6
2022-07-01,26272.011,5.593246,3.5
2022-08-01,26272.011,5.952632,3.6
2022-09-01,26272.011,6.344649,3.5
2022-10-01,26734.277,6.315609,3.6
2022-11-01,26734.277,6.430319,3.6
2022-12-01,26734.277,6.545514,3.5
2023-01-01,27164.359,6.488339,3.5
2023-02-01,27164.359,6.526576,3.6
2023-03-01,27164.359,6.390646,3.5
2023-04-01,27453.815,6.267738,3.4
2023-05-01,27453.815,5.978883,3.6
2023-06-01,27453.815,5.588761,3.6
2023-07-01,27967.697,5.402919,3.5
2023-08-01,27967.697,5.169678,3.7
2023-09-01,27967.697,4.955445,3.8
2023-10-01,28296.967,4.882717,3.9
2023-11-01,28296.967,4.691251,3.7
2023-12-01,28296.967,4.557667,3.8
2024-01-01,28624.069,4.601332,3.7
2024-02-01,28624.069,4.400073,3.9
2024-03-01,28624.069,4.502758,3.9
2024-04-01,29016.714,4.403618,3.9
2024-05-01,29016.714,4.300148,4.0
2024-06-01,29016.714,4.234733,4.1
2024-07-01,29374.914,4.179707,4.2
2024-08-01,29374.914,4.112096,4.2
2024-09-01,29374.914,4.012724,4.1
2024-10-01,29723.864,3.963395,4.1
2024-11-01,29723.864,3.876177,4.2
2024-12-01,29723.864,3.746553,4.1
